"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Меню на неделю из простых продуктов: мой базовый набор","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b1-03.png","Моё меню на всю неделю","","Из каких продуктов собрать сбалансированное меню на неделю: мой базовый набор без редких и дорогих ингредиентов. Сохрани как шпаргалку. Готовое меню на 4 недели с рецептами из этих продуктов — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=moe_menu&utm_content=b1-03","2026-09-30T06:00:00","меню на неделю, готовое меню на месяц, меню для семьи"
"Блюда на 2–3 дня: что приготовить на несколько дней","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b2-03.png","Что легко приготовить на ужин","","Что приготовить на несколько дней: суп, рагу, запеканка и плов, которые я готовлю впрок и ем 2–3 дня. Экономит время в будни. Меню на 4 недели с такими блюдами — переходи на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=uzhin&utm_content=b2-03","2026-09-30T16:00:00","что приготовить на ужин, быстрый ужин, ужин для семьи"
"5 ошибок при заготовке еды на неделю","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b3-03.png","Заготовки на всю неделю: как я готовлю","","Заготовки на неделю: 5 ошибок, которые я сама делала в начале, и как их избежать. Сохрани, чтобы заготовка не пропадала. Меню на месяц с готовым планом заготовок — переходи на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zagotovki&utm_content=b3-03","2026-10-01T06:00:00","заготовки на неделю, заготовки еды, meal prep"
"Полезные перекусы с собой: 5 вариантов в сумку","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b4-03.png","Завтраки, обеды с собой и перекусы","","Полезные перекусы с собой на работу и в дорогу: 5 вариантов, которые я беру каждый день. Простые и сытные. Сохрани список. Перекусы на каждый день расписаны в моём меню на 4 недели — ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zavtrak_obed&utm_content=b4-03","2026-10-01T16:00:00","обед на работу, полезный завтрак, полезные перекусы"
"Список покупок на неделю: как я его составляю","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b5-03.png","Шпаргалки: списки покупок и бюджет","","Как составить список покупок на неделю, чтобы ходить в магазин один раз и ничего не забывать. Мои 5 шагов. Готовые списки покупок на каждую из 4 недель — в моём меню, переходи на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=shpargalki&utm_content=b5-03","2026-10-02T06:00:00","бюджетное меню, список покупок на неделю, недорогие продукты"
"Как не есть одно и то же: 5 приёмов для разнообразного меню","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b1-04.png","Моё меню на всю неделю","","Как сделать меню на неделю разнообразным и не готовить каждый день новое: 5 приёмов из моей кухни. Сохрани себе. В моём меню на 4 недели блюда уже чередуются — смотри на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=moe_menu&utm_content=b1-04","2026-10-02T16:00:00","меню на неделю, готовое меню на месяц, меню для семьи"
"Быстрый ужин, когда нет сил: 5 вариантов из того, что есть дома","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b2-04.png","Что легко приготовить на ужин","","Быстрый ужин после работы, когда нет сил готовить: 5 вариантов из продуктов, которые обычно есть дома. Сохрани себе. Готовое меню на месяц, где ужины уже продуманы, — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=uzhin&utm_content=b2-04","2026-10-03T06:00:00","что приготовить на ужин, быстрый ужин, ужин для семьи"
"Сколько хранятся заготовки в холодильнике: шпаргалка","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b3-04.png","Заготовки на всю неделю: как я готовлю","","Шпаргалка: сколько хранятся заготовки еды в холодильнике — крупы, курица, овощи, яйца, супы. Чтобы заготовки на неделю не пропадали. Меню на 4 недели с планом заготовок в воскресенье и среду — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zagotovki&utm_content=b3-04","2026-10-03T16:00:00","заготовки на неделю, заготовки еды, meal prep"
"Быстрый завтрак за 10 минут: 5 идей","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b4-04.png","Завтраки, обеды с собой и перекусы","","Полезный быстрый завтрак за 10 минут: 5 идей из простых продуктов для будних дней. Сохрани и выбирай утром. Меню на 4 недели с завтраками, обедами и ужинами — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zavtrak_obed&utm_content=b4-04","2026-10-04T06:00:00","обед на работу, полезный завтрак, полезные перекусы"
"Что держать в морозилке: мой список","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b5-04.png","Шпаргалки: списки покупок и бюджет","","Какие продукты держать в морозилке, чтобы всегда было из чего приготовить ужин: фарш, овощи, ягоды, хлеб и готовые порции. Сохрани список. Меню на 4 недели со списками покупок — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=shpargalki&utm_content=b5-04","2026-10-04T16:00:00","бюджетное меню, список покупок на неделю, недорогие продукты"
"Сбалансированная тарелка: как собрать без подсчёта калорий","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b1-05.png","Моё меню на всю неделю","","Сбалансированное питание без диет: как собрать тарелку из овощей, белка и крупы, не считая калории. Простая схема на каждый день. Меню на 4 недели, где всё уже посчитано и сбалансировано, — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=moe_menu&utm_content=b1-05","2026-10-05T06:00:00","меню на неделю, готовое меню на месяц, меню для семьи"
"Что приготовить из курицы на ужин: 5 простых идей","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b2-05.png","Что легко приготовить на ужин","","Ужин из курицы: 5 простых идей на каждый день — в духовке, на сковороде и в салате. Что приготовить из курицы быстро и вкусно. Больше рецептов из простых продуктов — в моём меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=uzhin&utm_content=b2-05","2026-10-05T16:00:00","что приготовить на ужин, быстрый ужин, ужин для семьи"
"Что заготовить из курицы на неделю: 5 вариантов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b3-05.png","Заготовки на всю неделю: как я готовлю","","Заготовки из курицы на неделю: филе, тефтели, бульон и маринованные бёдра. Как приготовить курицу один раз и использовать в разных блюдах. Меню на 4 недели с рецептами — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zagotovki&utm_content=b3-05","2026-10-06T06:00:00","заготовки на неделю, заготовки еды, meal prep"
"Завтраки с вечера: что приготовить заранее","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b4-05.png","Завтраки, обеды с собой и перекусы","","Какой завтрак приготовить с вечера, чтобы утром не тратить время: овсянка в банке, сырники, запеканка и смузи. Сохрани идеи. Готовое меню на месяц — переходи на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zavtrak_obed&utm_content=b4-05","2026-10-06T16:00:00","обед на работу, полезный завтрак, полезные перекусы"
"Как не выбрасывать продукты: 5 правил","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b5-05.png","Шпаргалки: списки покупок и бюджет","","Как не выбрасывать продукты и экономить на еде: 5 правил моей кухни. Список покупок, заморозка и суп из остатков. Сохрани. Меню на месяц, где продукты используются полностью, — ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=shpargalki&utm_content=b5-05","2026-10-07T06:00:00","бюджетное меню, список покупок на неделю, недорогие продукты"
"Меню, когда нет сил готовить: мой план Б на будни","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b1-06.png","Моё меню на всю неделю","","Что есть на неделе, когда нет сил готовить после работы: мой план Б для будних вечеров. Простые решения без доставки. Готовое меню на месяц с быстрыми ужинами — переходи на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=moe_menu&utm_content=b1-06","2026-10-07T16:00:00","меню на неделю, готовое меню на месяц, меню для семьи"
"Ужин из фарша: 5 идей на неделю","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b2-06.png","Что легко приготовить на ужин","","Что приготовить из фарша на ужин: тефтели, котлеты в духовке, паста и запеканка. 5 идей на неделю из одного продукта. Меню на 4 недели с рецептами и списками покупок — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=uzhin&utm_content=b2-06","2026-10-08T06:00:00","что приготовить на ужин, быстрый ужин, ужин для семьи"
"Крупы впрок: как варить и хранить на неделю","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b3-06.png","Заготовки на всю неделю: как я готовлю","","Как варить крупы впрок и хранить их на неделю: гречка, рис, булгур и овсянка. Основа для быстрых ужинов и обедов с собой. Сохрани. План заготовок на 4 недели — в моём меню по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zagotovki&utm_content=b3-06","2026-10-08T16:00:00","заготовки на неделю, заготовки еды, meal prep"
"Завтраки из яиц: 5 вариантов на каждый день","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b4-06.png","Завтраки, обеды с собой и перекусы","","Завтрак из яиц на каждый день: омлет, шакшука, яичные маффины и тост с яйцом. Быстрые и сытные идеи для будней. Меню на 4 недели с разнообразными завтраками — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zavtrak_obed&utm_content=b4-06","2026-10-09T06:00:00","обед на работу, полезный завтрак, полезные перекусы"
"Бобовые в меню: 5 простых способов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b5-06.png","Шпаргалки: списки покупок и бюджет","","Как добавить фасоль, чечевицу и нут в меню: 5 простых способов для бюджетного и сытного питания. Сохрани шпаргалку. Меню на 4 недели с простыми рецептами — переходи на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=shpargalki&utm_content=b5-06","2026-10-09T16:00:00","бюджетное меню, список покупок на неделю, недорогие продукты"
"Как перестать заказывать доставку еды: 5 шагов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b1-07.png","Моё меню на всю неделю","","Как готовить дома и реже заказывать доставку еды: 5 шагов, которые помогли мне. Меню на неделю, заготовки и быстрые ужины. Моё меню на 4 недели с планом заготовок — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=moe_menu&utm_content=b1-07","2026-10-10T06:00:00","меню на неделю, готовое меню на месяц, меню для семьи"
"Ужин без духовки за 20 минут: 5 рецептов на сковороде","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b2-07.png","Что легко приготовить на ужин","","Быстрый ужин без духовки: 5 блюд на сковороде за 20 минут. Что приготовить на ужин, если нет времени ждать запекания. Сохрани. Готовое меню на месяц с быстрыми ужинами — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=uzhin&utm_content=b2-07","2026-10-10T16:00:00","что приготовить на ужин, быстрый ужин, ужин для семьи"
"Что можно заморозить впрок: мой список","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b3-07.png","Заготовки на всю неделю: как я готовлю","","Что можно заморозить впрок, чтобы быстро готовить на неделе: тефтели, супы, овощи, сырники и хлеб. Сохрани список. Меню на месяц с продуманными заготовками — переходи на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zagotovki&utm_content=b3-07","2026-10-11T06:00:00","заготовки на неделю, заготовки еды, meal prep"
"Обед в контейнер из заготовок за 5 минут","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b4-07.png","Завтраки, обеды с собой и перекусы","","Как собрать обед в контейнер на работу за 5 минут из заготовок: крупа, белок, овощи и соус. Простая формула сытного обеда. План заготовок на каждую неделю — в моём меню, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zavtrak_obed&utm_content=b4-07","2026-10-11T16:00:00","обед на работу, полезный завтрак, полезные перекусы"
"Базовые продукты для кухни: чек-лист","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b5-07.png","Шпаргалки: списки покупок и бюджет","","Чек-лист базовых продуктов для кухни: что всегда держать дома, чтобы быстро приготовить завтрак, обед или ужин. Сохрани и открой в магазине. Готовое меню на месяц — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=shpargalki&utm_content=b5-07","2026-10-12T06:00:00","бюджетное меню, список покупок на неделю, недорогие продукты"
"Почему я составила готовое меню на месяц","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b1-08.png","Моё меню на всю неделю","","Как появилось моё готовое меню на месяц: 28 дней, КБЖУ, списки покупок и план заготовок. Если тоже устала каждый день решать, что приготовить, — меню на 4 недели ждёт на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=moe_menu&utm_content=b1-08","2026-10-12T16:00:00","меню на неделю, готовое меню на месяц, меню для семьи"
"Лёгкий ужин: 5 сытных вариантов на вечер","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b2-08.png","Что легко приготовить на ужин","","Что поесть вечером, чтобы было легко и сытно: 5 вариантов лёгкого ужина из простых продуктов. Сохрани идеи. Сбалансированное меню на 4 недели — переходи на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=uzhin&utm_content=b2-08","2026-10-13T06:00:00","что приготовить на ужин, быстрый ужин, ужин для семьи"
"Заготовка на неделю за 1 час: быстрый вариант","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b3-08.png","Заготовки на всю неделю: как я готовлю","","Быстрая заготовка еды на неделю за 1 час, если на выходных мало времени: одна крупа, один белок, одна нарезка. Сохрани на воскресенье. Полный план заготовок — в моём меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zagotovki&utm_content=b3-08","2026-10-13T16:00:00","заготовки на неделю, заготовки еды, meal prep"
"Салаты в банке: как собрать обед с собой","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b4-08.png","Завтраки, обеды с собой и перекусы","","Салат в банке на обед: в каком порядке складывать слои, чтобы салат не размок. Удобный обед с собой на работу. Сохрани. Меню на месяц с обедами и списками покупок — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zavtrak_obed&utm_content=b4-08","2026-10-14T06:00:00","обед на работу, полезный завтрак, полезные перекусы"
"Сезонные овощи осенью: что покупать и готовить","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b5-08.png","Шпаргалки: списки покупок и бюджет","","Какие овощи покупать осенью и что из них готовить: тыква, капуста, свёкла, морковь и кабачки. Сезонное и бюджетное меню. Сохрани. Меню на 4 недели из простых продуктов — ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=shpargalki&utm_content=b5-08","2026-10-14T16:00:00","бюджетное меню, список покупок на неделю, недорогие продукты"
"Что внутри готового меню на 4 недели","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b1-09.png","Моё меню на всю неделю","","Готовое меню на месяц: 28 дней, КБЖУ и граммовки, списки покупок на каждую неделю, план заготовок и таблица замен. 4 уровня калорийности в одной покупке за 990 рублей. Смотри подробности на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=moe_menu&utm_content=b1-09","2026-10-15T06:00:00","меню на неделю, готовое меню на месяц, меню для семьи"
"Ужины, которые любят дети: 5 идей для всей семьи","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b2-09.png","Что легко приготовить на ужин","","Что приготовить на ужин детям и всей семье: 5 блюд, которые обычно едят с удовольствием. Простые рецепты из доступных продуктов. Меню на месяц для всей семьи — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=uzhin&utm_content=b2-09","2026-10-15T16:00:00","что приготовить на ужин, быстрый ужин, ужин для семьи"
"Заготовки для завтраков на 5 дней","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b3-09.png","Заготовки на всю неделю: как я готовлю","","Заготовки для завтраков на неделю: овсянка в банках, сырники, яйца и йогурт с ягодами. Быстрый полезный завтрак каждое утро. Меню на 4 недели с завтраками и списками покупок — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zagotovki&utm_content=b3-09","2026-10-16T06:00:00","заготовки на неделю, заготовки еды, meal prep"
"Перекус до ужина: 5 вариантов, чтобы не переедать вечером","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b4-09.png","Завтраки, обеды с собой и перекусы","","Что перекусить днём, чтобы не переедать вечером: 5 простых полезных перекусов до ужина. Сохрани себе. В моём меню на 4 недели перекусы уже распланированы — ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=zavtrak_obed&utm_content=b4-09","2026-10-16T16:00:00","обед на работу, полезный завтрак, полезные перекусы"
"Как сэкономить на продуктах: 5 правил без ущерба для меню","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b5-09.png","Шпаргалки: списки покупок и бюджет","","Как сэкономить на продуктах и при этом питаться полезно: 5 правил бюджетного меню на неделю. Сохрани. Списки покупок на каждую неделю — в моём меню на 4 недели, переходи на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=shpargalki&utm_content=b5-09","2026-10-17T06:00:00","бюджетное меню, список покупок на неделю, недорогие продукты"
"Меню на 1400, 1600 и 1900 ккал: как выбрать свой уровень","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins/b1-10.png","Моё меню на всю неделю","","Меню на 1400, 1600 и 1900 ккал: чем отличаются уровни в моём меню на 4 недели. Все четыре входят в одну покупку, переключаться можно в любую неделю. Уровень 1250 ккал лучше обсудить с врачом. Подробнее — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=dasha&utm_campaign=moe_menu&utm_content=b1-10","2026-10-17T16:00:00","меню на неделю, готовое меню на месяц, меню для семьи"
