"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Меню на рабочую неделю: схема на 5 дней","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n1-03.png","Меню на неделю без заморочек","","Простая схема меню на рабочую неделю: у каждого дня свой основной продукт. Так проще составить меню на неделю и список покупок. Полный план питания на 4 недели — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=menu_bez_zamorochek&utm_content=n1-03","2026-10-01T09:00:00","меню на неделю, как составить меню, сбалансированное питание"
"Ужин из рыбы за 20 минут: 5 идей","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n2-03.png","Ужин за 20 минут: идеи на каждый вечер","","Что приготовить из рыбы на ужин: 5 быстрых идей — минтай, треска, горбуша, рыба в фольге и уха. Простые рецепты на каждый день. Если не хочется составлять самой — готовое меню на месяц ждёт на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=uzhin_20&utm_content=n2-03","2026-10-01T17:00:00","что приготовить на ужин, быстрый ужин, ужин за 20 минут"
"Заготовка овощей на неделю: 5 способов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n3-03.png","Готовим заранее: заготовки и хранение","","Как заготовить овощи на неделю: нарезка, запекание, тушёная капуста и суповой набор в морозилку. Овощи каждый день без лишней возни. Больше таких решений — в готовом меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=gotovim_zaranee&utm_content=n3-03","2026-10-02T09:00:00","заготовки на неделю, заготовки еды, хранение продуктов"
"Завтраки из творога: 5 идей","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n4-03.png","Завтрак и перекус: быстро и сытно","","Что приготовить на завтрак из творога: сырники, запеканка, ленивые вареники и ещё 2 идеи. Сытный завтрак с белком. Готовое меню на 4 недели — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=zavtrak_perekus&utm_content=n4-03","2026-10-02T17:00:00","полезный завтрак, быстрый завтрак, полезные перекусы"
"Сколько варить крупы: шпаргалка","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n5-03.png","Кухонные шпаргалки: покупки, замены, продукты","","Шпаргалка: сколько варить крупы — гречку, рис, булгур, пшено и чечевицу. Сохраните, чтобы не искать каждый раз. Меню на месяц со списками покупок — переходите на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=shpargalki_kuhnya&utm_content=n5-03","2026-10-03T09:00:00","список покупок, чем заменить, кухонные шпаргалки"
"Меню на неделю для двоих: 5 советов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n1-04.png","Меню на неделю без заморочек","","Меню на неделю для двоих: как готовить без остатков и лишних покупок. 5 практичных советов для небольшой семьи. Если не хочется составлять самой — готовое меню на месяц ждёт на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=menu_bez_zamorochek&utm_content=n1-04","2026-10-03T17:00:00","меню на неделю, как составить меню, сбалансированное питание"
"Паста на ужин: 5 быстрых вариантов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n2-04.png","Ужин за 20 минут: идеи на каждый вечер","","Паста на ужин за 15–20 минут: 5 вариантов с тунцом, курицей, овощами и фаршем. Быстрый ужин для всей семьи. Больше таких решений — в готовом меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=uzhin_20&utm_content=n2-04","2026-10-04T09:00:00","что приготовить на ужин, быстрый ужин, ужин за 20 минут"
"Соусы на неделю: 5 простых рецептов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n3-04.png","Готовим заранее: заготовки и хранение","","Соусы на неделю: 5 простых рецептов, которые делают заготовки разными на вкус. Храните в банках 3–4 дня. Готовое меню на 4 недели — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=gotovim_zaranee&utm_content=n3-04","2026-10-04T17:00:00","заготовки на неделю, заготовки еды, хранение продуктов"
"Смузи на завтрак: 5 сочетаний","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n4-04.png","Завтрак и перекус: быстро и сытно","","Смузи на завтрак: 5 сочетаний из доступных продуктов. Быстрый полезный завтрак за 3 минуты. Меню на месяц со списками покупок — переходите на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=zavtrak_perekus&utm_content=n4-04","2026-10-05T09:00:00","полезный завтрак, быстрый завтрак, полезные перекусы"
"Специи к блюдам: шпаргалка","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n5-04.png","Кухонные шпаргалки: покупки, замены, продукты","","Какие специи добавлять к курице, рыбе, овощам, фаршу и выпечке. Шпаргалка, которая делает простые блюда вкуснее. Полный план питания на 4 недели — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=shpargalki_kuhnya&utm_content=n5-04","2026-10-05T17:00:00","список покупок, чем заменить, кухонные шпаргалки"
"Осеннее меню на неделю: 5 сезонных блюд","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n1-05.png","Меню на неделю без заморочек","","Меню на неделю осенью: 5 блюд из сезонных овощей — тыквы, капусты, свёклы и моркови. Вкусно, полезно и бюджетно. Больше таких решений — в готовом меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=menu_bez_zamorochek&utm_content=n1-05","2026-10-06T09:00:00","меню на неделю, как составить меню, сбалансированное питание"
"Вегетарианский ужин: 5 сытных идей","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n2-05.png","Ужин за 20 минут: идеи на каждый вечер","","Что приготовить на ужин без мяса: 5 сытных вегетарианских идей из чечевицы, нута, яиц и овощей. Готовое меню на 4 недели — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=uzhin_20&utm_content=n2-05","2026-10-06T17:00:00","что приготовить на ужин, быстрый ужин, ужин за 20 минут"
"Супы впрок: как заготовить и заморозить","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n3-05.png","Готовим заранее: заготовки и хранение","","Как заготовить суп впрок и заморозить: 5 правил, чтобы суп оставался вкусным. Горячий ужин за 5 минут в любой день. Меню на месяц со списками покупок — переходите на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=gotovim_zaranee&utm_content=n3-05","2026-10-07T09:00:00","заготовки на неделю, заготовки еды, хранение продуктов"
"Полезные бутерброды на завтрак: 5 вариантов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n4-05.png","Завтрак и перекус: быстро и сытно","","Полезные бутерброды на завтрак: 5 сочетаний на цельнозерновом хлебе. Быстрый завтрак за 5 минут. Полный план питания на 4 недели — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=zavtrak_perekus&utm_content=n4-05","2026-10-07T17:00:00","полезный завтрак, быстрый завтрак, полезные перекусы"
"Источники белка: 5 групп продуктов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n5-05.png","Кухонные шпаргалки: покупки, замены, продукты","","Источники белка для сбалансированного питания: 5 групп продуктов, из которых легко собрать меню на неделю. Если не хочется составлять самой — готовое меню на месяц ждёт на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=shpargalki_kuhnya&utm_content=n5-05","2026-10-08T09:00:00","список покупок, чем заменить, кухонные шпаргалки"
"5 признаков, что вам нужно меню на неделю","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n1-06.png","Меню на неделю без заморочек","","Узнали себя? 5 признаков, что вам пора планировать меню на неделю. Меню на неделю экономит время, деньги и силы по вечерам. Готовое меню на 4 недели — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=menu_bez_zamorochek&utm_content=n1-06","2026-10-08T17:00:00","меню на неделю, как составить меню, сбалансированное питание"
"Тёплые салаты на ужин: 5 рецептов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n2-06.png","Ужин за 20 минут: идеи на каждый вечер","","Тёплый салат на ужин: 5 рецептов с курицей, тыквой, фасолью и рыбой. Лёгкий и сытный ужин за 20 минут. Меню на месяц со списками покупок — переходите на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=uzhin_20&utm_content=n2-06","2026-10-09T09:00:00","что приготовить на ужин, быстрый ужин, ужин за 20 минут"
"Заготовка на семью из 4 человек: план","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n3-06.png","Готовим заранее: заготовки и хранение","","Заготовки на неделю для семьи из 4 человек: сколько крупы, белка и овощей приготовить в воскресенье. План, который экономит будни. Полный план питания на 4 недели — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=gotovim_zaranee&utm_content=n3-06","2026-10-09T17:00:00","заготовки на неделю, заготовки еды, хранение продуктов"
"Завтрак за 5 минут: 5 вариантов на утро","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n4-06.png","Завтрак и перекус: быстро и сытно","","Быстрый завтрак за 5 минут: 5 вариантов на утро, когда совсем нет времени. Полезно и без готовки. Если не хочется составлять самой — готовое меню на месяц ждёт на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=zavtrak_perekus&utm_content=n4-06","2026-10-10T09:00:00","полезный завтрак, быстрый завтрак, полезные перекусы"
"Как хранить овощи и фрукты: 5 правил","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n5-06.png","Кухонные шпаргалки: покупки, замены, продукты","","Как хранить овощи и фрукты, чтобы они не портились: 5 простых правил. Меньше выброшенных продуктов. Больше таких решений — в готовом меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=shpargalki_kuhnya&utm_content=n5-06","2026-10-10T17:00:00","список покупок, чем заменить, кухонные шпаргалки"
"Сбалансированный день: как распределить еду","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n1-07.png","Меню на неделю без заморочек","","Как распределить еду в течение дня: простая схема сбалансированного питания без подсчёта калорий и без диет. Меню на месяц со списками покупок — переходите на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=menu_bez_zamorochek&utm_content=n1-07","2026-10-11T09:00:00","меню на неделю, как составить меню, сбалансированное питание"
"Ужин в одной сковороде: 5 блюд","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n2-07.png","Ужин за 20 минут: идеи на каждый вечер","","Ужин в одной сковороде: 5 блюд, после которых почти нечего мыть. Быстрый ужин на каждый день из простых продуктов. Полный план питания на 4 недели — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=uzhin_20&utm_content=n2-07","2026-10-11T17:00:00","что приготовить на ужин, быстрый ужин, ужин за 20 минут"
"Что нельзя готовить заранее: 5 блюд","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n3-07.png","Готовим заранее: заготовки и хранение","","Что не стоит заготавливать на неделю: 5 блюд, которые лучше готовить в день подачи. Чтобы заготовки не разочаровывали. Если не хочется составлять самой — готовое меню на месяц ждёт на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=gotovim_zaranee&utm_content=n3-07","2026-10-12T09:00:00","заготовки на неделю, заготовки еды, хранение продуктов"
"Лёгкие перекусы на каждый день: 5 идей","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n4-07.png","Завтрак и перекус: быстро и сытно","","Лёгкие полезные перекусы на каждый день: 5 идей для дома и работы. Сохраните список. Больше таких решений — в готовом меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=zavtrak_perekus&utm_content=n4-07","2026-10-12T17:00:00","полезный завтрак, быстрый завтрак, полезные перекусы"
"Порции без весов: шпаргалка ладонью","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n5-07.png","Кухонные шпаргалки: покупки, замены, продукты","","Как определить порцию без весов: простая шпаргалка по ладони для сбалансированной тарелки. Для точных граммовок есть готовое меню. Готовое меню на 4 недели — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=shpargalki_kuhnya&utm_content=n5-07","2026-10-13T09:00:00","список покупок, чем заменить, кухонные шпаргалки"
"Готовое меню на 4 недели: что внутри","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n1-08.png","Меню на неделю без заморочек","","Готовое меню на месяц: 28 дней, КБЖУ, списки покупок, план заготовок и таблица замен. 4 уровня калорийности в одной покупке за 990 рублей, уровень 1250 ккал лучше обсудить с врачом. Полный план питания на 4 недели — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=menu_bez_zamorochek&utm_content=n1-08","2026-10-13T17:00:00","меню на неделю, как составить меню, сбалансированное питание"
"Быстрые супы на ужин: 5 вариантов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n2-08.png","Ужин за 20 минут: идеи на каждый вечер","","Какой суп сварить на ужин быстро: 5 вариантов на 20–30 минут. Сварили один раз — и ужин на два дня. Если не хочется составлять самой — готовое меню на месяц ждёт на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=uzhin_20&utm_content=n2-08","2026-10-14T09:00:00","что приготовить на ужин, быстрый ужин, ужин за 20 минут"
"Заготовка за 90 минут: пошаговый таймлайн","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n3-08.png","Готовим заранее: заготовки и хранение","","Как сделать заготовку еды на неделю за 90 минут: пошаговый таймлайн по минутам. Сохраните и попробуйте в воскресенье. Больше таких решений — в готовом меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=gotovim_zaranee&utm_content=n3-08","2026-10-14T17:00:00","заготовки на неделю, заготовки еды, хранение продуктов"
"Сладкий завтрак без лишнего сахара: 5 идей","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n4-08.png","Завтрак и перекус: быстро и сытно","","Сладкий завтрак без лишнего сахара: 5 идей, где сладость дают фрукты и ягоды. Вкусный и полезный завтрак. Готовое меню на 4 недели — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=zavtrak_perekus&utm_content=n4-08","2026-10-15T09:00:00","полезный завтрак, быстрый завтрак, полезные перекусы"
"Порядок в холодильнике: 5 зон","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n5-08.png","Кухонные шпаргалки: покупки, замены, продукты","","Как организовать холодильник: 5 зон для заготовок, молочных продуктов, мяса и овощей. Продукты хранятся дольше. Меню на месяц со списками покупок — переходите на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=shpargalki_kuhnya&utm_content=n5-08","2026-10-15T17:00:00","список покупок, чем заменить, кухонные шпаргалки"
"Как пользоваться готовым меню: 5 шагов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n1-09.png","Меню на неделю без заморочек","","Как пользоваться готовым меню на месяц: 5 простых шагов от выбора калорийности до готовки в будни. Уровень 1250 ккал лучше обсудить с врачом. Если не хочется составлять самой — готовое меню на месяц ждёт на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=menu_bez_zamorochek&utm_content=n1-09","2026-10-16T09:00:00","меню на неделю, как составить меню, сбалансированное питание"
"Что приготовить из индейки: 5 идей на ужин","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n2-09.png","Ужин за 20 минут: идеи на каждый вечер","","Ужин из индейки: 5 простых идей — в духовке, на сковороде, тефтели и котлеты. Что приготовить из индейки быстро и вкусно. Больше таких решений — в готовом меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=uzhin_20&utm_content=n2-09","2026-10-16T17:00:00","что приготовить на ужин, быстрый ужин, ужин за 20 минут"
"Заготовка обедов на работу на 5 дней","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n3-09.png","Готовим заранее: заготовки и хранение","","Как заготовить обеды на работу на всю неделю: крупа, белок, овощи и соус. Обед с собой каждый день без утренней спешки. Готовое меню на 4 недели — по ссылке на сайте.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=gotovim_zaranee&utm_content=n3-09","2026-10-17T09:00:00","заготовки на неделю, заготовки еды, хранение продуктов"
"Выпечка на завтрак впрок: 5 рецептов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n4-09.png","Завтрак и перекус: быстро и сытно","","Что испечь на завтрак впрок: сырники, оладьи, маффины, запеканка и овсяные блины. Завтрак на неделю за один вечер. Меню на месяц со списками покупок — переходите на сайт по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=zavtrak_perekus&utm_content=n4-09","2026-10-17T17:00:00","полезный завтрак, быстрый завтрак, полезные перекусы"
"Список продуктов на неделю для одного","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n5-09.png","Кухонные шпаргалки: покупки, замены, продукты","","Список продуктов на неделю для одного человека: базовый набор для простого и сбалансированного меню. Полный план питания на 4 недели — на сайте по ссылке.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=shpargalki_kuhnya&utm_content=n5-09","2026-10-18T09:00:00","список покупок, чем заменить, кухонные шпаргалки"
"Питание без диет: 5 простых принципов","https://raw.githubusercontent.com/daryaykrivosheeva-web/expert-platform-v1/claude/inspiring-babbage-9ihlkl/menu/public/pins-nastya/n1-10.png","Меню на неделю без заморочек","","Сбалансированное питание без диет и запретов: 5 простых принципов, которые легко встроить в меню на неделю. Больше таких решений — в готовом меню на 4 недели, ссылка на сайт.","https://menu-gamma-navy-77.vercel.app/?utm_source=pinterest&utm_medium=nastya&utm_campaign=menu_bez_zamorochek&utm_content=n1-10","2026-10-18T17:00:00","меню на неделю, как составить меню, сбалансированное питание"
